category,value,observation_type,month,date
47.71 clothing stores,9.5,"Yearly development in percent, working day adjusted, constant prices",2015M06,2015-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",11.8,"Yearly development in percent, working day adjusted, constant prices",2015M06,2015-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M07,2015-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,28.2,"Yearly development in percent, working day adjusted, constant prices",2015M07,2015-07-01
47.64 sports shops,19.9,"Yearly development in percent, working day adjusted, constant prices",2015M07,2015-07-01
47.71 clothing stores,15.5,"Yearly development in percent, working day adjusted, constant prices",2015M07,2015-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.9,"Yearly development in percent, working day adjusted, constant prices",2015M07,2015-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M08,2015-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-2.2,"Yearly development in percent, working day adjusted, constant prices",2015M08,2015-08-01
47.64 sports shops,6.2,"Yearly development in percent, working day adjusted, constant prices",2015M08,2015-08-01
47.71 clothing stores,-5.3,"Yearly development in percent, working day adjusted, constant prices",2015M08,2015-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",11.8,"Yearly development in percent, working day adjusted, constant prices",2015M08,2015-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M09,2015-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,14.4,"Yearly development in percent, working day adjusted, constant prices",2015M09,2015-09-01
47.64 sports shops,8.0,"Yearly development in percent, working day adjusted, constant prices",2015M09,2015-09-01
47.71 clothing stores,6.8,"Yearly development in percent, working day adjusted, constant prices",2015M09,2015-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",20.4,"Yearly development in percent, working day adjusted, constant prices",2015M09,2015-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M10,2015-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,10.3,"Yearly development in percent, working day adjusted, constant prices",2015M10,2015-10-01
47.64 sports shops,7.0,"Yearly development in percent, working day adjusted, constant prices",2015M10,2015-10-01
47.71 clothing stores,6.8,"Yearly development in percent, working day adjusted, constant prices",2015M10,2015-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",10.4,"Yearly development in percent, working day adjusted, constant prices",2015M10,2015-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M11,2015-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,10.3,"Yearly development in percent, working day adjusted, constant prices",2015M11,2015-11-01
47.64 sports shops,5.8,"Yearly development in percent, working day adjusted, constant prices",2015M11,2015-11-01
47.71 clothing stores,4.4,"Yearly development in percent, working day adjusted, constant prices",2015M11,2015-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",15.9,"Yearly development in percent, working day adjusted, constant prices",2015M11,2015-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2015M12,2015-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,9.5,"Yearly development in percent, working day adjusted, constant prices",2015M12,2015-12-01
47.64 sports shops,-0.2,"Yearly development in percent, working day adjusted, constant prices",2015M12,2015-12-01
47.71 clothing stores,3.7,"Yearly development in percent, working day adjusted, constant prices",2015M12,2015-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",7.8,"Yearly development in percent, working day adjusted, constant prices",2015M12,2015-12-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M01,2016-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,4.1,"Yearly development in percent, working day adjusted, constant prices",2016M01,2016-01-01
47.64 sports shops,6.9,"Yearly development in percent, working day adjusted, constant prices",2016M01,2016-01-01
47.71 clothing stores,3.5,"Yearly development in percent, working day adjusted, constant prices",2016M01,2016-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",14.9,"Yearly development in percent, working day adjusted, constant prices",2016M01,2016-01-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M02,2016-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,8.7,"Yearly development in percent, working day adjusted, constant prices",2016M02,2016-02-01
47.64 sports shops,-0.7,"Yearly development in percent, working day adjusted, constant prices",2016M02,2016-02-01
47.71 clothing stores,2.4,"Yearly development in percent, working day adjusted, constant prices",2016M02,2016-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",5.0,"Yearly development in percent, working day adjusted, constant prices",2016M02,2016-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M03,2016-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,10.1,"Yearly development in percent, working day adjusted, constant prices",2016M03,2016-03-01
47.64 sports shops,0.6,"Yearly development in percent, working day adjusted, constant prices",2016M03,2016-03-01
47.71 clothing stores,-3.3,"Yearly development in percent, working day adjusted, constant prices",2016M03,2016-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",17.6,"Yearly development in percent, working day adjusted, constant prices",2016M03,2016-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M04,2016-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,5.8,"Yearly development in percent, working day adjusted, constant prices",2016M04,2016-04-01
47.64 sports shops,0.8,"Yearly development in percent, working day adjusted, constant prices",2016M04,2016-04-01
47.71 clothing stores,-6.3,"Yearly development in percent, working day adjusted, constant prices",2016M04,2016-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",12.4,"Yearly development in percent, working day adjusted, constant prices",2016M04,2016-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M05,2016-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,0.0,"Yearly development in percent, working day adjusted, constant prices",2016M05,2016-05-01
47.64 sports shops,7.7,"Yearly development in percent, working day adjusted, constant prices",2016M05,2016-05-01
47.71 clothing stores,1.4,"Yearly development in percent, working day adjusted, constant prices",2016M05,2016-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",6.2,"Yearly development in percent, working day adjusted, constant prices",2016M05,2016-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M06,2016-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,0.0,"Yearly development in percent, working day adjusted, constant prices",2016M06,2016-06-01
47.64 sports shops,4.6,"Yearly development in percent, working day adjusted, constant prices",2016M06,2016-06-01
47.71 clothing stores,-3.9,"Yearly development in percent, working day adjusted, constant prices",2016M06,2016-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",7.6,"Yearly development in percent, working day adjusted, constant prices",2016M06,2016-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M07,2016-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-6.7,"Yearly development in percent, working day adjusted, constant prices",2016M07,2016-07-01
47.64 sports shops,0.5,"Yearly development in percent, working day adjusted, constant prices",2016M07,2016-07-01
47.71 clothing stores,-7.3,"Yearly development in percent, working day adjusted, constant prices",2016M07,2016-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.0,"Yearly development in percent, working day adjusted, constant prices",2016M07,2016-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M08,2016-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,16.3,"Yearly development in percent, working day adjusted, constant prices",2016M08,2016-08-01
47.64 sports shops,2.4,"Yearly development in percent, working day adjusted, constant prices",2016M08,2016-08-01
47.71 clothing stores,2.1,"Yearly development in percent, working day adjusted, constant prices",2016M08,2016-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.0,"Yearly development in percent, working day adjusted, constant prices",2016M08,2016-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M09,2016-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,0.8,"Yearly development in percent, working day adjusted, constant prices",2016M09,2016-09-01
47.64 sports shops,-0.7,"Yearly development in percent, working day adjusted, constant prices",2016M09,2016-09-01
47.71 clothing stores,-7.4,"Yearly development in percent, working day adjusted, constant prices",2016M09,2016-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",3.5,"Yearly development in percent, working day adjusted, constant prices",2016M09,2016-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M10,2016-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,1.5,"Yearly development in percent, working day adjusted, constant prices",2016M10,2016-10-01
47.64 sports shops,5.1,"Yearly development in percent, working day adjusted, constant prices",2016M10,2016-10-01
47.71 clothing stores,-1.1,"Yearly development in percent, working day adjusted, constant prices",2016M10,2016-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",15.2,"Yearly development in percent, working day adjusted, constant prices",2016M10,2016-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M11,2016-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-0.1,"Yearly development in percent, working day adjusted, constant prices",2016M11,2016-11-01
47.64 sports shops,11.0,"Yearly development in percent, working day adjusted, constant prices",2016M11,2016-11-01
47.71 clothing stores,5.6,"Yearly development in percent, working day adjusted, constant prices",2016M11,2016-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",15.3,"Yearly development in percent, working day adjusted, constant prices",2016M11,2016-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2016M12,2016-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-0.4,"Yearly development in percent, working day adjusted, constant prices",2016M12,2016-12-01
